,ID,userID,Rating,Priority,Title,Text
0,1,usr204,5,High,Love these snacks!,"Honestly didn't think I'd get addicted to these but here we areâ€¦ the BBQ flavour literally disappears in 5 minutes because I can't stop eating them. Crunchy but not oily, and they somehow feel 'light' even though I eat like 3 bags at once lol."
1,2,usr118,3,Medium,Decent but too salty,They're okay I guess? The texture is nice but omg the salt. After a few pieces I needed a whole bottle of water. My partner loves them but I'm kinda meh about it.
2,3,usr550,4,Low,Good for parties,Bought these for a movie night and everyone kept asking what brand they were. I wish the bag was bigger though. The sour cream flavor is ðŸ”¥ but a bit inconsistent between batches??
3,4,usr802,2,High,Not for me,"I really wanted to like these because people hype them up all over social media, but honestly they taste kinda stale to me. Maybe I got a bad batch but still disappointing, especially for the price ngl."
4,5,usr990,1,High,Terrible â€” never again,Idk what happened but the whole bag tasted like burnt cardboard ðŸ˜­. I even asked my sibling to try and they spit it out immediately. Super weird chemical smell too??? yeah no thanks.
5,6,usr443,4,Medium,Pretty good actually,"Wasn't expecting much but these surprised me. Great crunch, nice flavor. Sometimes a bit too airy but that's not a big deal. Good with dips btw â€” highly recommend trying with hummus."
6,7,usr221,5,Low,My fav snack rn,I keep a bag of these in my desk drawer at work and they're literally saving my life during long meetings. Perfect balance of flavor and crunch. They're basically my fuel ðŸ« .
7,8,usr677,2,Medium,Weird aftertaste,The first bite is good and then suddenly there's this strange metallic aftertaste? Thought it was just me but my friend noticed it too. Idk maybe a flavouring thing.
8,9,usr741,3,Low,Okay as a quick snack,"Not amazing, not terrible. Basically a backup snack when I donâ€™t know what else to buy. Sometimes the bags feel half-empty though which is annoying."
9,10,usr333,5,High,So crunchy omg,Legit the crunchiest chips ever. I eat these while watching shows and my roommate keeps yelling because they're so loud ðŸ˜­ but they're sooo good I can't stop.
10,11,usr811,4,Low,I buy these weekly,maybe the factory was having a bad day idk. I keep buying them even though I complain lol. ngl I expected more from this flavor.
11,12,usr694,3,Medium,"Meh, could be better",I keep buying them even though I complain lol. honestly not sure what happened but. smelled funny but tasted good?? confusing.
12,13,usr649,3,High,Tastes amazing,my friend said the same thing so maybe it's not just me. kinda good but also kinda weird??. I finished the whole bag accidentally.
13,14,usr616,1,High,Not my fav,smelled funny but tasted good?? confusing. I keep buying them even though I complain lol. maybe the factory was having a bad day idk.
14,15,usr926,3,High,Kids loved it,kinda good but also kinda weird??. I keep buying them even though I complain lol. maybe the factory was having a bad day idk.
15,16,usr103,2,Low,Not worth the price,maybe the factory was having a bad day idk. I finished the whole bag accidentally. ngl I expected more from this flavor.
16,17,usr221,3,Medium,Tastes amazing,my friend said the same thing so maybe it's not just me. honestly not sure what happened but. honestly not sure what happened but.
17,18,usr407,3,Medium,Not worth the price,these slap when you're hungry at midnight. smelled funny but tasted good?? confusing. these slap when you're hungry at midnight.
18,19,usr936,1,Medium,Mid but edible,ngl I expected more from this flavor. honestly not sure what happened but. maybe the factory was having a bad day idk.
19,20,usr448,3,Medium,Surprisingly good,maybe the factory was having a bad day idk. smelled funny but tasted good?? confusing. ngl I expected more from this flavor.
20,21,usr784,5,Low,Tasted stale,texture was all over the place. ngl I expected more from this flavor. my friend said the same thing so maybe it's not just me.
21,22,usr447,5,Low,Didn't like this batch,honestly not sure what happened but. I finished the whole bag accidentally. my friend said the same thing so maybe it's not just me.
22,23,usr206,4,High,Too crunchy lol,my friend said the same thing so maybe it's not just me. smelled funny but tasted good?? confusing. kinda good but also kinda weird??.
23,24,usr650,3,Low,Nope. Just nope.,smelled funny but tasted good?? confusing. kinda good but also kinda weird??. maybe the factory was having a bad day idk.
24,25,usr940,5,Medium,Tasted stale,smelled funny but tasted good?? confusing. kinda good but also kinda weird??. I keep buying them even though I complain lol.
25,26,usr224,5,High,Tastes amazing,ngl I expected more from this flavor. texture was all over the place. these slap when you're hungry at midnight.
26,27,usr610,3,High,Kinda obsessed ngl,ngl I expected more from this flavor. kinda good but also kinda weird??. I keep buying them even though I complain lol.
27,28,usr951,5,High,Kinda obsessed ngl,I finished the whole bag accidentally. these slap when you're hungry at midnight. these slap when you're hungry at midnight.
28,29,usr920,4,Low,"Meh, could be better",my friend said the same thing so maybe it's not just me. texture was all over the place. these slap when you're hungry at midnight.
29,30,usr781,1,High,Actually impressed,ngl I expected more from this flavor. my friend said the same thing so maybe it's not just me. kinda good but also kinda weird??.
30,31,usr822,2,Low,Not worth the price,kinda good but also kinda weird??. my friend said the same thing so maybe it's not just me. maybe the factory was having a bad day idk.
31,32,usr705,2,Medium,"Meh, could be better",maybe the factory was having a bad day idk. honestly not sure what happened but. ngl I expected more from this flavor.
32,33,usr523,1,High,Nope. Just nope.,maybe the factory was having a bad day idk. I keep buying them even though I complain lol. kinda good but also kinda weird??.
33,34,usr966,3,Low,Didn't like this batch,texture was all over the place. ngl I expected more from this flavor. I keep buying them even though I complain lol.
34,35,usr961,1,High,Great for lunch breaks,kinda good but also kinda weird??. I keep buying them even though I complain lol. texture was all over the place.
35,36,usr754,3,Low,Pretty solid snack,kinda good but also kinda weird??. smelled funny but tasted good?? confusing. I keep buying them even though I complain lol.
36,37,usr190,3,Medium,Nope. Just nope.,kinda good but also kinda weird??. texture was all over the place. these slap when you're hungry at midnight.
37,38,usr775,3,Medium,Not worth the price,my friend said the same thing so maybe it's not just me. I finished the whole bag accidentally. my friend said the same thing so maybe it's not just me.
38,39,usr234,5,Low,Actually impressed,kinda good but also kinda weird??. I keep buying them even though I complain lol. texture was all over the place.
39,40,usr346,2,Low,I buy these weekly,my friend said the same thing so maybe it's not just me. my friend said the same thing so maybe it's not just me. honestly not sure what happened but.
40,41,usr476,4,Medium,Addicted to these,honestly not sure what happened but. maybe the factory was having a bad day idk. kinda good but also kinda weird??.
41,42,usr887,4,Medium,Mid but edible,I finished the whole bag accidentally. texture was all over the place. texture was all over the place.
42,43,usr695,2,Medium,Nope. Just nope.,maybe the factory was having a bad day idk. I finished the whole bag accidentally. I finished the whole bag accidentally.
43,44,usr370,2,Low,My go-to chips,kinda good but also kinda weird??. kinda good but also kinda weird??. my friend said the same thing so maybe it's not just me.
44,45,usr297,2,Medium,Kids loved it,maybe the factory was having a bad day idk. ngl I expected more from this flavor. smelled funny but tasted good?? confusing.
45,46,usr235,1,Low,My go-to chips,ngl I expected more from this flavor. I finished the whole bag accidentally. I keep buying them even though I complain lol.
46,47,usr417,3,Medium,Flavour is weird,kinda good but also kinda weird??. these slap when you're hungry at midnight. my friend said the same thing so maybe it's not just me.
47,48,usr502,1,High,Nope. Just nope.,maybe the factory was having a bad day idk. these slap when you're hungry at midnight. my friend said the same thing so maybe it's not just me.
48,49,usr802,1,Low,Not worth the price,I finished the whole bag accidentally. texture was all over the place. texture was all over the place.
49,50,usr761,3,High,Too crunchy lol,ngl I expected more from this flavor. kinda good but also kinda weird??. honestly not sure what happened but.
50,51,usr326,2,Low,My go-to chips,maybe the factory was having a bad day idk. texture was all over the place. ngl I expected more from this flavor.
51,52,usr954,5,Medium,Pretty solid snack,kinda good but also kinda weird??. I keep buying them even though I complain lol. honestly not sure what happened but.
52,53,usr410,5,Low,Great for lunch breaks,ngl I expected more from this flavor. texture was all over the place. ngl I expected more from this flavor.
53,54,usr602,1,Low,Pretty solid snack,maybe the factory was having a bad day idk. smelled funny but tasted good?? confusing. texture was all over the place.
54,55,usr966,4,High,My go-to chips,honestly not sure what happened but. kinda good but also kinda weird??. my friend said the same thing so maybe it's not just me.
55,56,usr705,3,High,Not my fav,smelled funny but tasted good?? confusing. my friend said the same thing so maybe it's not just me. my friend said the same thing so maybe it's not just me.
56,57,usr676,2,High,Tasted stale,my friend said the same thing so maybe it's not just me. honestly not sure what happened but. texture was all over the place.
57,58,usr878,4,Low,Bag was half air??,my friend said the same thing so maybe it's not just me. texture was all over the place. honestly not sure what happened but.
58,59,usr684,5,Medium,"Meh, could be better",smelled funny but tasted good?? confusing. maybe the factory was having a bad day idk. kinda good but also kinda weird??.
59,60,usr852,2,High,Didn't like this batch,texture was all over the place. kinda good but also kinda weird??. I finished the whole bag accidentally.
